Species	Status
Mosasauridae	extinct
Mosasaurinae	extinct
Mosasauroidea	extinct
Mosasaurus	extinct
Mosasaurus_beaugei	extinct
Mosasaurus_conodon	extinct
Mosasaurus_dekayi	extinct
Mosasaurus_gracilis	extinct
Mosasaurus_hoffmanni	extinct
Mosasaurus_iembeensis	extinct
Mosasaurus_impar	extinct
Mosasaurus_mangahouangae	extinct
Mosasaurus_maximus	extinct
Mosasaurus_missouriensis	extinct
Mosasaurus_mokoroa	extinct
Myrmecodaptria_microphagosa	extinct
Naja	extinct
Naja_antiqua	extinct
Naja_austriaca	extinct
Naja_iberica	extinct
Naja_romani	extinct
Najash_rionegrina	extinct
Nanowana	extinct
Natricinae	extinct
Natrix	extinct
Natrix_longivertebrata	extinct
Natrix_merkurensis	extinct
Natrix_mlynarskii	extinct
Natrix_natrix	extant
Natrix_parva	extinct
Nebraskophis	extinct
Nebraskophis_skinneri	extinct
Necrosauridae	extinct
Necrosaurus	extinct
Necrosaurus_cayluxi	extinct
Necrosaurus_eucarinatus	extinct
Neonatrix	extinct
Neonatrix_crassa	extinct
Neonatrix_elongata	extinct
Neonatrix_europaea	extinct
Neonatrix_infera	extinct
Neonatrix_magna	extinct
Neonatrix_nova	extinct
Nerodia	extinct
Nerodia_hillmani	extinct
Nerodia_sipedon	extinct
Nessovophis_zhylga	extinct
Neurodromicus_dorsalis	extinct
Nidophis_insularis	extinct
Nigerophiidae	extinct
Nigerophis_mirus	extinct
Nordenosaurus_magnus	extinct
Norellius_nyctisaurops	extinct
Norisophis	extinct
Norisophis_begaa	extinct
Notechis	extinct
Nubianophis_afaahus	extinct
Obamadon_gracilis	extinct
Odaxosaurinae	extinct
Odaxosaurus	extinct
Odaxosaurus_piger	extinct
Odaxosaurus_priscus	extinct
Odaxosaurus_roosevelti	extinct
Ogmophis	extinct
Ogmophis_arenarum	extinct
Ogmophis_compactus	extinct
Ogmophis_miocompactus	extinct
Ogmophis_oregonensis	extinct
Ogmophis_pauperrimus	extinct
Ogmophis_pliocompactus	extinct
Ogmophis_voorhiesi	extinct
Oligodontosaurus_wyomingensis	extinct
Olindalacerta_brasiliensis	extinct
Opheodrys	extinct
Ophidia	extinct
Ophisauriscus_quadrupes	extinct
Ophisauromimus	extinct
Ophisauromimus_coderetensis	extinct
Ophisauromimus_frayssensis	extinct
Ophisaurus	extinct
Ophisaurus_compressus	extinct
Ophisaurus_spinari	extinct
Ophisaurus_ventralis	extinct
Oreithyia_oaklandi	extinct
Ornatocephalus_metzleri	extinct
Orthoscincus_malperiensis	extinct
Orthrioscincus_mixtus	extinct
Ototriton_solidus	extinct
Ovoo_gurvel	extinct
Oxia_karakalpakensis	extinct
Oxiella_tenuis	extinct
Pachygenys_adachii	extinct
Pachygenys_thlastesa	extinct
Pachyophis_woodwardi	extinct
Pachyrhachis_problematicus	extinct
Pachyvaranus_crassispondylus	extinct
Palaeoblanus	extinct
Palaeoblanus_tobieni	extinct
Palaeocordylus_bohemicus	extinct
Palaeogekko_risgoviensis	extinct
Palaeonatrix	extinct
Palaeonatrix_lehmani	extinct
Palaeophiidae	extinct
Palaeophis	extinct
Palaeophis_africanus	extinct
Palaeophis_casei	extinct
Palaeophis_colossaeus	extinct
Palaeophis_ferganicus	extinct
Palaeophis_grandis	extinct
Palaeophis_halidanus	extinct
Palaeophis_littoralis	extinct
Palaeophis_maghrebianus	extinct
Palaeophis_nessovi	extinct
Palaeophis_tamdy	extinct
Palaeophis_toliapicus	extinct
Palaeophis_typhaeus	extinct
Palaeophis_vastaniensis	extinct
Palaeophis_virginianus	extinct
Palaeopython	extinct
Palaeopython_cadurcensis	extinct
Palaeopython_filholi	extinct
Palaeopython_fischeri	extinct
Palaeopython_neglectus	extinct
Palaeosaniwa	extinct
Palaeosaniwa_canadensis	extinct
Palaeoscincosaurus_middletoni	extinct
Palaeoscincosaurus_pharkidodon	extinct
Palaeoxantusia	extinct
Palaeoxantusia_amara	extinct
Palaeoxantusia_borealis	extinct
Palaeoxantusia_fera	extinct
Paleoheterodon	extinct
Paleoheterodon_arcuatus	extinct
Paleoheterodon_tiheni	extinct
Paleophis_virginianus	extinct
Palepidophyma_lilliputiana	extinct
Palepidophyma_paradisa	extinct
Paleryx	extinct
Paleryx_cayluxi	extinct
Paleryx_rhombifer	extinct
Pannoniasaurus_inexpectatus	extinct
Paracoluber	extinct
Paracoluber_storeri	extinct
Paracontogenys_estesi	extinct
Paraderma	extinct
Paraderma_bogerti	extinct
Paradipsosaurus_mexicanus	extinct
Paradracaena	extinct
Paraepicrates_brevispondylus	extinct
Paragerrhonotus_ricardensis	extinct
Paraglyphanodon_gazini	extinct
Paraglyphanodon_utahensis	extinct
Paraglyptosaurus	extinct
Paraglyptosaurus_princeps	extinct
Paraglyptosaurus_yatkolai	extinct
Paramacellodidae	extinct
Paramacellodus	extinct
Paramacellodus_keebleri	extinct
Paramacellodus_marocensis	extinct
Paramacellodus_oweni	extinct
Paramacellodus_sinuosus	extinct
Parameiva_oculea	extinct
Paranolis	extinct
Paranolis_delicatus	extinct
Paraoxybelis	extinct
Paraplacosauriops_quercyi	extinct
Paraplatyspondylia_batesi	extinct
Paraprionosaurus_wyomingensis	extinct
Parasaniwa	extinct
Parasaniwa_cynochoros	extinct
Parasaniwa_wyomingensis	extinct
Parasaurillus_pseudobtusus	extinct
Parasauromalus	extinct
Parasauromalus_olseni	extinct
Paraungaliophis_pricei	extinct
Paravaranus_angustifrons	extinct
Paraxestops_stehlini	extinct
Pariguana_lancensis	extinct
Parmeosaurus_scutatus	extinct
Parodaxosaurus_sanjuanensis	extinct
Paroedura	extinct
Parophisaurus	extinct
Parophisaurus_pawneensis	extinct
Parviderma_inexacta	extinct
Parviraptor	extinct
Parviraptor_estesi	extinct
Patagoniophis_australiensis	extinct
Patagoniophis_parvus	extinct
Paulacoutophis_perplexus	extinct
Pedrerasaurus_latifrontalis	extinct
Pelsochamops_infrequens	extinct
Peltosaurus	extinct
Peltosaurus_floridanus	extinct
Peltosaurus_granulosus	extinct
Peltosaurus_macrodon	extinct
Penemabuya_antecessor	extinct
Peneteius	extinct
Peneteius_aquilonius	extinct
Peneteius_saueri	extinct
Phosphorosaurus	extinct
Phrynosoma	extinct
Phrynosomatinae	extinct
Phrynosomimus_asper	extinct
Pituophis	extinct
Pituophis_melanoleucus	extant
Placosauriops	extinct
Placosauriops_weigelti	extinct
Placosaurus	extinct
Placosaurus_estesi	extinct
Placosaurus_mongoliensis	extinct
Placosaurus_ragei	extinct
Placosaurus_rugosus	extinct
Platecarpus	extinct
Platecarpus_planifrons	extinct
Platecarpus_tympaniticus	extinct
Platydactylus_minutus	extant
Platynota	extinct
Platyspondylia	extinct
Platyspondylia_germanica	extinct
Platyspondylia_lepta	extinct
Platyspondylia_sudrei	extinct
Platyspondylophis_tadkeshwarensis	extinct
Plesiolacerta	extinct
Plesiolacerta_eratosthenesi	extinct
Plesiolacerta_lydekkeri	extinct
Plesiorhineura_tsentasi	extinct
Plesiotortrix_edwardsi	extinct
Plesiotylosaurus_crassidens	extinct
Pleurodonta	extinct
Pleurodontagama_aenigmatodes	extinct
Plioplatecarpinae	extinct
Plioplatecarpini	extinct
Plioplatecarpus	extinct
Plioplatecarpus_depressus	extinct
Plioplatecarpus_marshi	extinct
Plioplatecarpus_primaevus	extinct
Plotosaurus	extinct
Plotosaurus_bennisoni	extinct
Plotosaurus_tuckeri	extinct
Pluridens_walkeri	extinct
Pogona	extinct
Pollackophis_depressus	extinct
Polrussia_mongoliensis	extinct
Polychrotidae	extinct
Polyglyphanodon_sternbergi	extinct
Polyodontobaena_belgica	extinct
Pontosaurus	extinct
Pontosaurus_lesinensis	extinct
Portugalophis_lignites	extinct
Primaderma_nessovi	extinct
Priscagama_gobiensis	extinct
Priscagamidae	extinct
Pristiguana_brasilensis	extinct
Procerophis_sahnii	extinct
Prodenteia_ministra	extinct
Proegernia_palankarinnensis	extinct
Prognathodon	extinct
Prognathodon_compressidens	extinct
Prognathodon_currii	extinct
Prognathodon_giganteus	extinct
Prognathodon_kianda	extinct
Prognathodon_mosasauroides	extinct
Prognathodon_overtoni	extinct
Prognathodon_rapax	extinct
Prognathodon_saturator	extinct
Prognathodon_sectorius	extinct
