"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&base_name=squamata"
"Access Time","Mon 2017-03-13 02:55:23 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","squamata"
"","timerule","major"
"Elapsed Time","0.278"
"Records Found","718"
"Records Returned","718"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","Mizdah","","sandstone","100.5","93.9","LY","1","1"
"str","","Molecap Greensand","","sandstone","86.3","83.6","AU","3","3"
"str","","Monroe Creek","","","26.3","24.8","US","5","8"
"str","","Monte Hermoso","","siltstone,mudstone,breccia","5.333","3.6","AR","4","7"
"str","","Moodys Branch","","sandstone","37.2","33.9","US","2","2"
"str","","Moreno","","","72.1","66","US","1","1"
"str","","Moreno","an unnamed canyon in the Panoche HillsTierra Loma Shale","""shale""","72.1","66","US","1","2"
"str","","Moreno","Tierra Loma","""shale""","72.1","66","US","1","1"
"str","","Morrison","","mudstone/siltstone","157.3","145","US","3","3"
"str","","Morrison","Brushy Basin","sandstone/siltstone,mudstone/sandstone,mudstone,claystone/sandstone,claystone","150.8","145","US","15","32"
"str","","Most","","marl/coal","20","15.97","CZ","1","15"
"str","","Muñani","","conglomerate/sandstone","58.7","48.6","PE","1","1"
"str","","Murtoi","Mogoito","sandstone","130","113","RU","1","1"
"str","","Mutsuo","Azenotani Mudstone","siltstone","70.6","66","JP","1","1"
"str","","Muwaddar Chalk Marl","","marl","72.1","66","JO","1","6"
"str","","Nacimiento","","","63.3","56","US","7","13"
"str","","Nacimiento","Deltatherium Zone","","63.3","61.7","US","1","1"
"str","","Nanjemoy","Potapaco","","55.8","50.3","US","1","4"
"str","","Nanxiong","","mudstone/sandstone","70.6","66","CN","1","2"
"str","","Navarro","","","83.5","70.6","US","1","1"
"str","","Navay","","""shale""","100.5","66","VE","1","1"
"str","","Nawata and Nachukui","Lower/Upper Nawata & Apak","","11.62","2.588","KE","1","2"
"str","","Nay Marls","","marl","70.6","66","FR","1","1"
"str","","Nemegt","","siltstone/sandstone,sandstone/mudstone","72.1","66","MN","4","4"
"str","","Nivel de Lutitas y Arenas","","sandstone","83.6","72.1","CO","1","1"
"str","","North Horn","","","66","63.3","US","2","4"
"str","","North Horn","Joe's Valley","","63.3","61.7","US","1","2"
"str","","Nuapua","middle","","0.0117","0","BO","1","4"
"str","","Nubia","","sandstone","0.0117","0","SD","3","3"
"str","","Oakville","","claystone","20.43","15.97","US","1","1"
"str","","Ocala","","","2.588","0.0117","US","1","1"
"str","","Ogallala","","sandstone/claystone","13.6","10.3","US","1","16"
"str","","Ojinaga","","""shale""/marl","93.9","89.8","MX","1","1"
"str","","Ojo Alamo","Naashoibito","","72.1","66","US","1","2"
